Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TC ($)","Option 1, K1 ($)"
0,No claim amount,No claim amount,0,0
1,0,"16,129.00","16,129.00","2,258.06"
2,"16,129.01","18,907.00","17,518.00","2,452.52"
3,"18,907.01","21,685.00","20,296.00","2,841.44"
4,"21,685.01","24,463.00","23,074.00","3,230.36"
5,"24,463.01","27,241.00","25,852.00","3,619.28"
6,"27,241.01","30,019.00","28,630.00","4,008.20"
7,"30,019.01","32,797.00","31,408.00","4,397.12"
8,"32,797.01","35,575.00","34,186.00","4,786.04"
9,"35,575.01","38,353.00","36,964.00","5,174.96"
10,"38,353.01","41,131.00","39,742.00","5,563.88"
